Timestamp	What is your attitude towards online learning?	Online learning has proven to be effective towards my academic performance.	"How would you rank online learning, face to face learning or hybrid learning? With 1 being the best and 3 being the worst. [Online learning]"	"How would you rank online learning, face to face learning or hybrid learning? With 1 being the best and 3 being the worst. [Face to Face Learning]"	"How would you rank online learning, face to face learning or hybrid learning? With 1 being the best and 3 being the worst. [Hybrid Learning]"	I have access to stable internet connection while accessing online learning.	I have access to suitable devices to meet the requirements for online learning	I am able to stay focused and concentrated throughout all my online courses.	"I feel supported by my course coordinators, lecturers and tutors through online platforms."	The courses I am undertaking have provided me resources to help me learn online	What is your current level of study at UNSW?	What is your current year at UNSW?	Faculty of your degree:	How long is your commute to UNSW?	What is your current living situation? 	What is your current employment status?
8/2/21 21:40	5	4	3	1	2	3	3	2	2	4	Undergraduate	Third Year	Business School	Within 2 hours	Living with family and friends	Part-time
8/3/21 21:48	5	4	3	2	1	3	4	2	2	1	Undergraduate	Fourth Year	Science	Within 1 hour	Living with family and friends	Unemployed
8/4/21 10:41	2	3	3	1	2	5	5	5	5	4	Undergraduate	Second Year	Business School	Outside of Sydney	Living alone	Full-time
8/4/21 10:42	5	2	2	2	2	3	4	3	3	4	Undergraduate	Second Year	Business School	Within 2 hours	Living with family and friends	Casual
8/4/21 10:52	5	5	1	2	1	1	2	2	2	2	Undergraduate	Third Year	Engineering	Within 2 hours	Living with family and friends	Casual
8/4/21 11:02	4	3	3	1	2	4	4	4	5	4	Undergraduate	Fourth Year	Engineering	Within 2 hours	Living with family and friends	Part-time
8/4/21 11:26	5	3	3	2	1	5	5	3	4	4	Undergraduate	Fourth Year	Engineering	Within 2 hours	Living with family and friends	Casual
8/4/21 11:27	6	4	2	2	1	4	4	3	3	4	Undergraduate	Third Year	Business School	Within 1 hour	Living with family and friends	Casual
8/4/21 11:48	6	4	2	3	1	5	5	3	3	4	Undergraduate	Fourth Year	Business School	Within 2 hours	Living with family and friends	Part-time
8/4/21 12:26	3	2	3	2	1	4	4	1	2	3	Undergraduate	Third Year	Engineering	Within 1 hour	Living with family and friends	Casual
8/4/21 12:49	5	5	2	1	2	5	5	4	5	4	Undergraduate	Third Year	"Arts, Design & Architecture"	Within 1 hour	Living with family and friends	Unemployed
8/4/21 13:49	4	3	1	2	3	5	5	5	5	5	Undergraduate	Third Year	Engineering	Within 2 hours	Living with family and friends	Part-time
8/4/21 16:53	3	1	3	1	2	2	2	1	2	1	Undergraduate	Third Year	Engineering	Within 1 hour	Living with family and friends	Part-time
8/4/21 16:57	7	5	1	3	2	5	5	5	5	5	Undergraduate	Third Year	"Arts, Design & Architecture"	Within 2 hours	Living with family and friends	Unemployed
8/4/21 16:58	6	4	3	2	1	4	4	4	4	3	Undergraduate	Fourth Year	Business School	Within 30 minutes	Living alone	Casual
8/4/21 17:00	5	3	3	2	1	4	5	2	4	4	Undergraduate	Fourth Year	Business School	Within 1 hour	Living with family and friends	Part-time
8/4/21 17:01	1	1	3	1	2	1	1	1	1	1	Undergraduate	Second Year	Science	Within 30 minutes	Living with family and friends	Unemployed
8/4/21 17:02	7	5	1	3	2	5	5	5	4	4	Undergraduate	Fourth Year	Business School	More than 2 hours	Living alone	Part-time
8/4/21 17:13	6	5	1	2	3	5	5	4	3	3	Undergraduate	Third Year	"Arts, Design & Architecture"	Within 30 minutes	Living with family and friends	Unemployed
8/4/21 17:18	5	4	2	2	3	3	5	2	1	3	Postgraduate	Fourth Year	Science	Within 1 hour	Living with family and friends	Unemployed
8/4/21 17:33	6	4	3	2	1	3	3	3	3	3	Undergraduate	Third Year	Business School	Within 1 hour	Living with family and friends	Casual
8/4/21 17:37	6	4	3	2	1	4	5	3	2	2	Undergraduate	Fourth Year	"Arts, Design & Architecture"	Within 1 hour	Living with family and friends	Casual
8/4/21 17:56	4	3	3	1	2	4	2	3	2	2	Undergraduate	Second Year	"Arts, Design & Architecture"	Within 1 hour	Living with family and friends	Unemployed
8/4/21 19:13	7	5	1	3	2	5	5	5	5	5	Undergraduate	Fourth Year	Law	Within 1 hour	Living with family and friends	Casual
8/4/21 19:16	4	3	1	2	2	5	5	2	3	3	Undergraduate	Fourth Year	Engineering	Within 30 minutes	Living with family and friends	Casual
8/4/21 19:51	7	5	1	3	2	5	5	5	3	2	Undergraduate	Third Year	Science	More than 2 hours	Living alone	Part-time
8/4/21 19:51	4	2	1	2	3	5	5	3	3	4	Undergraduate	Second Year	Science	Within 2 hours	Living with family and friends	Unemployed
8/4/21 20:13	3	5	3	1	2	5	4	1	3	4	Undergraduate	Fourth Year	Science	Within 30 minutes	Living alone	Unemployed
8/4/21 21:30	4	1	1	2	3	5	5	1	3	5	Undergraduate	Third Year	Medicine	Within 1 hour	Living with family and friends	Part-time
8/4/21 21:45	2	2	3	1	2	5	5	1	4	5	Undergraduate	Fifth Year	Law	Within 2 hours	Living with family and friends	Unemployed
8/4/21 21:53	5	4	2	1	1	4	4	3	4	4	Undergraduate	Second Year	Business School	Within 2 hours	Living with family and friends	Part-time
8/4/21 21:53	2	2	1	3	2	4	5	1	4	4	Undergraduate	Second Year	Business School	Within 1 hour	Living with family and friends	Part-time
8/4/21 21:53	6	4	1	2	3	4	4	4	4	4	Undergraduate	First Year	Law	Within 1 hour	Living with family and friends	Unemployed
8/4/21 21:55	2	2	1	2	3	5	5	2	3	2	Undergraduate	Fifth Year	Science	Within 2 hours	Living with family and friends	Casual
8/4/21 21:56	2	1	3	1	2	5	5	1	3	3	Undergraduate	Third Year	Engineering	Within 30 minutes	Living alone	Unemployed
8/4/21 21:56	4	2	2	3	1	2	1	1	3	1	Undergraduate	Second Year	"Arts, Design & Architecture"	Within 2 hours	Living with family and friends	Casual
8/4/21 21:59	4	4	3	1	2	4	4	2	2	4	Undergraduate	Second Year	Business School	Within 30 minutes	Living alone	Casual
