time	year	month	date	day	births	weekend	weorhol
1	2004	January	1	Thurs	539	0	0
2	2004	January	2	Fri	670	0	0
3	2004	January	3	Sat	501	1	1
4	2004	January	4	Sun	474	1	1
5	2004	January	5	Mon	740	0	0
6	2004	January	6	Tues	768	0	0
7	2004	January	7	Wed	748	0	0
8	2004	January	8	Thurs	822	0	0
9	2004	January	9	Fri	729	0	0
10	2004	January	10	Sat	494	1	1
11	2004	January	11	Sun	480	1	1
12	2004	January	12	Mon	722	0	0
13	2004	January	13	Tues	709	0	0
14	2004	January	14	Wed	778	0	0
15	2004	January	15	Thurs	783	0	0
16	2004	January	16	Fri	767	0	0
17	2004	January	17	Sat	512	1	1
18	2004	January	18	Sun	465	1	1
19	2004	January	19	Mon	752	0	0
20	2004	January	20	Tues	768	0	0
21	2004	January	21	Wed	752	0	0
22	2004	January	22	Thurs	814	0	0
23	2004	January	23	Fri	718	0	0
24	2004	January	24	Sat	525	1	1
25	2004	January	25	Sun	442	1	1
26	2004	January	26	Mon	475	0	1
27	2004	January	27	Tues	744	0	0
28	2004	January	28	Wed	783	0	0
29	2004	January	29	Thurs	782	0	0
30	2004	January	30	Fri	782	0	0
31	2004	January	31	Sat	497	1	1
32	2004	February	1	Sun	440	1	1
33	2004	February	2	Mon	716	0	0
34	2004	February	3	Tues	744	0	0
35	2004	February	4	Wed	732	0	0
36	2004	February	5	Thurs	802	0	0
37	2004	February	6	Fri	726	0	0
38	2004	February	7	Sat	505	1	1
39	2004	February	8	Sun	461	1	1
40	2004	February	9	Mon	758	0	0
41	2004	February	10	Tues	751	0	0
42	2004	February	11	Wed	732	0	0
43	2004	February	12	Thurs	749	0	0
44	2004	February	13	Fri	667	0	0
45	2004	February	14	Sat	501	1	1
46	2004	February	15	Sun	488	1	1
47	2004	February	16	Mon	777	0	0
48	2004	February	17	Tues	726	0	0
49	2004	February	18	Wed	723	0	0
50	2004	February	19	Thurs	778	0	0
51	2004	February	20	Fri	767	0	0
52	2004	February	21	Sat	536	1	1
53	2004	February	22	Sun	523	1	1
54	2004	February	23	Mon	703	0	0
55	2004	February	24	Tues	742	0	0
56	2004	February	25	Wed	715	0	0
57	2004	February	26	Thurs	771	0	0
58	2004	February	27	Fri	741	0	0
59	2004	February	28	Sat	507	1	1
60	2004	February	29	Sun	436	1	1
61	2004	March	1	Mon	678	0	0
62	2004	March	2	Tues	742	0	0
63	2004	March	3	Wed	769	0	0
64	2004	March	4	Thurs	813	0	0
65	2004	March	5	Fri	769	0	0
66	2004	March	6	Sat	510	1	1
67	2004	March	7	Sun	456	1	1
68	2004	March	8	Mon	673	0	0
69	2004	March	9	Tues	798	0	0
70	2004	March	10	Wed	739	0	0
71	2004	March	11	Thurs	788	0	0
72	2004	March	12	Fri	754	0	0
73	2004	March	13	Sat	500	1	1
74	2004	March	14	Sun	447	1	1
