COUNTRY	GDP_PPP	cell	smart	inter
Argentina	22375.19	0.83099997	0.5	0.699000001
Australia	47317.97	0.950199187	0.732071698	0.912350595
Brazil	15690.13	0.855000019	0.405000001	0.574999988
Burkina_Faso	1738.8	0.79400003	0.144999996	0.142000005
Canada	45488.9	0.854581654	0.67231077	0.917330682
Chile	23563.7	0.911000013	0.592000008	0.708000004
China	14189.52	0.96711427	0.594409406	0.606741548
Ethiopia	1773.88	0.497999996	0.046999998	0.082000002
France	41221.47	0.883116901	0.50949049	0.765234768
Germany	47033.23	0.959999979	0.652999997	0.899999976
Ghana	4215.86	0.746999979	0.228	0.237000003
India	6209.48	0.828303397	0.21818924	0.223083198
Indonesia	11111.82	0.811999977	0.241999999	0.324999988
Israel	33658.27	0.964999974	0.728999972	0.84799999
Italy	35664.91	0.962000012	0.657999992	0.765999973
Japan	38210.63	0.907999992	0.423000008	0.721000016
Jordan	12162.13	0.980000019	0.541000009	0.661000013
Kenya	3245.53	0.861083746	0.335960597	0.45714286
Lebanon	18416.63	0.899999976	0.574000001	0.703000009
Malaysia	26141.13	0.934000015	0.652999997	0.625
Mexico	18334.99	0.728999972	0.361000001	0.541999996
Nigeria	6184.74	0.900668561	0.296084046	0.392550141
Pakistan	4902.09	0.566666663	0.109999999	0.100833334
Peru	12076.72	0.797999978	0.254999995	0.524999976
Philippines	7318.39	0.684000015	0.194999993	0.31099999
Poland	26402.84	0.892996132	0.416342407	0.710116744
Russia	23744.22	0.968063891	0.46407187	0.738522947
Senegal	2425.45	0.827000022	0.187999994	0.261999995
South_Africa	13197.3	0.903999984	0.388999999	0.365999997
Spain	35269.83	0.968999982	0.713	0.853999972
Tanzania	2900.75	0.728999972	0.107000001	0.202000007
Turkey	20276.99	0.96198523	0.632523775	0.736008465
Uganda	1999.33	0.56400001	0.039999999	0.101000004
Ukraine	7989.64	0.907166898	0.269841284	0.596921623
United_Kingdom	40958.23	0.918918908	0.660660684	0.87587589
United_States	55904.3	0.933200419	0.684945166	0.869391799
Venezuela	15891.69	0.823000014	0.430000007	0.61500001
Vietnam	6019.51	0.883000016	0.375	0.500999987
